ITEM_ID,ITEM_NAME,ITEM_TYPE
I7,Farro with Summer Vegetables,Bases
I39,Spindrift Lemon,Drinks
I5,Classic Brown Rice,Bases
I36,Kombucha,Drinks
I8,Cauliflower with Garlic and Parmesan,Market Sides
I37,Organic Iced Tea,Drinks
I12,Cashew Kale Caesar,Market Sides
I31,Kitchen Sink Cookie,Desserts
I11,Charred Broccoli with Lemon,Market Sides
I33,Cawston Press Rhubarb Sparkling Drink,Drinks
I18,Garlic Aioli ,Sauces
I4,Roasted Wild Alaskan Salmon Marketbowl,Mains
I3,Herb Roasted Chicken Marketbowl,Mains
I34,Fresh Ginger Mint Lemonade,Drinks
I16,Housemade Sriracha,Sauces
I14,Green Goddess Beans with Sesame,Market Sides
I24,Avocado,Cold Sides
I9,Jasper Hill Mac & Cheese,Market Sides
I15,Snap Peas,Market Sides
I35,Hibiscus Rooibos Iced Tea,Drinks
I0,Charred Chicken Marketbowl,Mains
I1,Spicy Meatballs Marketbowl,Mains
I32,Boxed Water is Better,Drinks
I10,Roasted Sweet Potatoes,Market Sides
I19,Tarragon Mustard,Sauces
I17,Pesto,Sauces
I6,Farm Greens with Mint,Bases
I38,Spindrift Grapefruit,Drinks
I2,Grilled Organic Tofu Marketbowl,Mains
I13,Blistered Shishitos,Market Sides
I40,Himalayan Pink Organic Popcorn,Desserts
